name,position,number,age,goals
Dmytro Riznyk,Goalkeeper,31,25,0
name,position,number,age,goals
Stav Lemkin,Defender,3,20,0
name,position,number,age,goals
Valeriy Bondar,Defender,5,25,0
name,position,number,age,goals
Giorgi Gocholeishvili,Defender,13,23,0
name,position,number,age,goals
Irakli Azarov,Defender,16,22,0
name,position,number,age,goals
Mykola Matviyenko,Defender,22,27,1
name,position,number,age,goals
Yukhym Konoplia,Defender,26,24,0
name,position,number,age,goals
Yaroslav Rakitskyy,Defender,44,34,1
name,position,number,age,goals
Taras Stepanenko,Midfielder,6,34,0
name,position,number,age,goals
Eguinaldo,Midfielder,7,19,1
name,position,number,age,goals
Dmytro Kryskiv,Midfielder,8,23,0
name,position,number,age,goals
Marian Shved,Midfielder,9,26,0
name,position,number,age,goals
Georgiy Sudakov,Midfielder,10,21,1
name,position,number,age,goals
Oleksandr Zubkov,Midfielder,11,27,0
name,position,number,age,goals
Artem Bondarenko,Midfielder,21,23,0
name,position,number,age,goals
Novatus Miroshi,Midfielder,25,21,0
name,position,number,age,goals
Yehor Nazaryna,Midfielder,29,26,0
name,position,number,age,goals
Newerton,Midfielder,39,18,0
name,position,number,age,goals
Olexiy Kashchuk,Midfielder,90,23,0
name,position,number,age,goals
Danylo Sikan,Forward,14,22,4
name,position,number,age,goals
Kevin Kelsy,Forward,18,19,1
name,position,number,age,goals
Frederik Rønnow,Goalkeeper,1,31,0
name,position,number,age,goals
Paul Jaeckel,Defender,3,25,0
name,position,number,age,goals
Diogo Leite,Defender,4,25,0
name,position,number,age,goals
Danilho Doekhi,Defender,5,25,0
name,position,number,age,goals
Robin Gosens,Defender,6,29,1
name,position,number,age,goals
Josip Juranović,Defender,18,28,0
name,position,number,age,goals
Leonardo Bonucci,Defender,23,26,0
name,position,number,age,goals
Jérôme Roussillon,Defender,26,31,0
name,position,number,age,goals
Christopher Trimmel,Defender,28,37,0
name,position,number,age,goals
Robin Knoche,Defender,31,31,0
name,position,number,age,goals
Brenden Aaronson,Midfielder,7,23,0
name,position,number,age,goals
Rani Khedira,Midfielder,8,30,0
name,position,number,age,goals
Janik Haberer,Midfielder,19,29,0
name,position,number,age,goals
Aïssa Laïdouni,Midfielder,20,27,0
name,position,number,age,goals
Lucas Tousart,Midfielder,29,26,0
name,position,number,age,goals
Alex Král,Midfielder,33,25,1
name,position,number,age,goals
Aljoscha Kemlein,Midfielder,36,19,0
name,position,number,age,goals
Kevin Volland,Forward,10,31,1
name,position,number,age,goals
David Fofana,Forward,11,21,1
name,position,number,age,goals
Kevin Behrens,Forward,17,33,0
name,position,number,age,goals
Sheraldo Becker,Forward,27,29,2
name,position,number,age,goals
Anthony Racioppi,Goalkeeper,1,25,0
name,position,number,age,goals
David von Ballmoos,Goalkeeper,26,29,0
name,position,number,age,goals
Mohamed Ali Camara,Defender,13,26,0
name,position,number,age,goals
Saidy Janko,Defender,17,28,0
name,position,number,age,goals
Noah Persson,Defender,19,20,0
name,position,number,age,goals
Ulisses Garcia,Defender,21,28,0
name,position,number,age,goals
Loris Benito,Defender,23,32,0
name,position,number,age,goals
Lewin Blum,Defender,27,22,1
name,position,number,age,goals
Fabian Lustenberger,Defender,28,35,0
name,position,number,age,goals
Filip Ugrinic,Midfielder,7,25,2
name,position,number,age,goals
Łukasz Łakomy,Midfielder,8,23,0
name,position,number,age,goals
Kastriot Imeri,Midfielder,10,23,0
name,position,number,age,goals
Miguel Chaiwa,Midfielder,14,19,0
name,position,number,age,goals
Cheikh Niasse,Midfielder,20,24,0
name,position,number,age,goals
Donat Rrudhani,Midfielder,22,24,0
name,position,number,age,goals
Sandro Lauper,Midfielder,30,27,0
name,position,number,age,goals
Darian Males,Midfielder,39,22,0
name,position,number,age,goals
Cédric Itten,Midfielder,9,27,2
name,position,number,age,goals
Ebrima Colley,Midfielder,11,24,1
name,position,number,age,goals
Meschack Elia,Midfielder,15,26,2
name,position,number,age,goals
Jean-Pierre Nsame,Midfielder,18,30,0
name,position,number,age,goals
Silvère Ganvoula,Midfielder,36,27,0
name,position,number,age,goals
Joel Monteiro,Midfielder,77,24,0
name,position,number,age,goals
Martin Dúbravka,Goalkeeper,1,35,0
name,position,number,age,goals
Nick Pope,Goalkeeper,22,31,0
name,position,number,age,goals
Kieran Trippier,Defender,2,33,0
name,position,number,age,goals
Sven Botman,Defender,4,24,0
name,position,number,age,goals
Fabian Schär,Defender,5,32,1
name,position,number,age,goals
Jamaal Lascelles,Defender,6,30,0
name,position,number,age,goals
Matt Targett,Defender,13,28,0
name,position,number,age,goals
Tino Livramento,Defender,21,21,0
name,position,number,age,goals
Dan Burn,Defender,33,31,1
name,position,number,age,goals
Sandro Tonali,Midfielder,8,23,0
name,position,number,age,goals
Harvey Barnes,Midfielder,15,26,0
name,position,number,age,goals
Lewis Hall,Midfielder,20,19,0
name,position,number,age,goals
Miguel Almirón,Midfielder,24,30,1
name,position,number,age,goals
Sean Longstaff,Midfielder,36,26,1
name,position,number,age,goals
Bruno Guimarães,Midfielder,39,26,0
name,position,number,age,goals
Joelinton,Forward,7,27,1
name,position,number,age,goals
Callum Wilson,Forward,9,32,0
name,position,number,age,goals
Anthony Gordon,Forward,10,23,0
name,position,number,age,goals
Alexander Isak,Forward,14,24,1
name,position,number,age,goals
Jacob Murphy,Forward,23,29,0
name,position,number,age,goals
Joe Willock,Forward,28,24,0
name,position,number,age,goals
Nico Mantl,Goalkeeper,1,24,0
name,position,number,age,goals
Alexander Schlager,Goalkeeper,24,28,0
name,position,number,age,goals
Aleksa Terzić,Defender,3,24,0
name,position,number,age,goals
Kamil Piątkowski,Defender,4,23,0
name,position,number,age,goals
Samson Baidoo,Defender,6,19,0
name,position,number,age,goals
Andreas Ulmer,Defender,17,38,0
name,position,number,age,goals
Oumar Solet,Defender,22,24,0
name,position,number,age,goals
Strahinja Pavlović,Defender,31,22,0
name,position,number,age,goals
Leandro Morgalla,Defender,39,19,0
name,position,number,age,goals
Amar Dedić,Defender,70,21,0
name,position,number,age,goals
Nicolás Capaldo,Midfielder,7,25,0
name,position,number,age,goals
Dijon Kameri,Midfielder,8,19,0
name,position,number,age,goals
Luka Sučić,Midfielder,10,21,1
name,position,number,age,goals
Maurits Kjærgaard,Midfielder,14,20,0
name,position,number,age,goals
Mads Bidstrup,Midfielder,18,23,0
name,position,number,age,goals
Lucas Gourna-Douath,Midfielder,27,20,0
name,position,number,age,goals
Oscar Gloukh,Midfielder,30,19,2
name,position,number,age,goals
Amankwah Forson,Midfielder,32,21,0
name,position,number,age,goals
Fernando,Forward,11,25,0
name,position,number,age,goals
Karim Konaté,Forward,19,19,0
name,position,number,age,goals
Sékou Koita,Forward,20,24,0
name,position,number,age,goals
Petar Ratkov,Forward,21,20,0
name,position,number,age,goals
Roko Šimić,Forward,23,20,1
name,position,number,age,goals
Dorgeles Nene,Forward,45,21,0
name,position,number,age,goals
Marko Dmitrović,Goalkeeper,1,32,0
name,position,number,age,goals
Ørjan Nyland,Goalkeeper,13,33,0
name,position,number,age,goals
Adriá Pedrosa,Defender,3,25,0
name,position,number,age,goals
Sergio Ramos,Defender,4,37,2
name,position,number,age,goals
Tanguy Nianzou,Defender,14,21,0
